"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","1","0.17","2","0.22","Leader","3","0.05","0","0","Leader","3","0.1","3","0.24","Leader","7","0.08","5","0.11"
"Active member","29","1.98","47","4.81","Active member","85","7.02","87","6.23","Active member","68","4.88","68","5.03","Active member","182","5.76","202","5.64"
"Inactive member","17","1.25","23","2.18","Inactive member","163","11.15","155","10.91","Inactive member","41","8.27","52","6.74","Inactive member","221","9.15","230","8.47"
"Not a member","1064","96.6","958","92.79","Not a member","948","81.78","931","82.86","Not a member","989","86.76","896","87.99","Not a member","3001","85.01","2785","85.78"
"","","","","","","","","","","","","","","","","","","",""
"F1d. Political party","","","","","F1d. Political party","","","","","F1d. Political party","","","","","F1d. Political party","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","7","0.7","16","2.92","Leader","7","0.11","4","0.08","Leader","3","0.12","3","0.25","Leader","17","0.17","23","0.42"
"Active member","27","1.2","42","3.14","Active member","59","5.87","74","5.26","Active member","63","3.33","67","4.86","Active member","149","4.5","183","4.91"
"Inactive member","10","0.87","16","1.93","Inactive member","123","7.11","108","7.2","Inactive member","41","7.83","48","6.88","Inactive member","174","6.75","172","6.57"
"Not a member","1067","97.23","956","92.01","Not a member","1010","86.9","987","87.46","Not a member","994","88.73","901","88.01","Not a member","3071","88.57","2844","88.11"
"","","","","","","","","","","","","","","","","","","",""
"F1e. Environmental organization including Water User’s Group and Forest User’s Group and Climate Action Groups","","","","","F1e. Environmental organization including Water User’s Group and Forest User’s Group and Climate Action Groups","","","","","F1e. Environmental organization including Water User’s Group and Forest User’s Group and Climate Action Groups","","","","","F1e. Environmental organization including Water User’s Group and Forest User’s Group and Climate Action Groups","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","7","0.41","6","0.34","Leader","0","0","5","0.32","Leader","0","0","6","0.34","Leader","7","0.04","17","0.33"
"Active member","43","2.79","46","3.91","Active member","128","8.65","128","9.04","Active member","71","3.9","55","3.7","Active member","242","6.38","229","6.5"
"Inactive member","17","1.51","28","3.89","Inactive member","140","9.3","121","9.42","Inactive member","42","7.57","46","7.39","Inactive member","199","7.92","195","8.11"
"Not a member","1044","95.29","950","91.86","Not a member","931","82.04","919","81.22","Not a member","988","88.53","912","88.57","Not a member","2963","85.66","2781","85.06"
"","","","","","","","","","","","","","","","","","","",""
"F1f. Agricultural/livestock/fisheries producer’s group (including marketing groups)","","","","","F1f. Agricultural/livestock/fisheries producer’s group (including marketing groups)","","","","","F1f. Agricultural/livestock/fisheries producer’s group (including marketing groups)","","","","","F1f. Agricultural/livestock/fisheries producer’s group (including marketing groups)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","3","0.23","0","0","Leader","0","0","0","0","Leader","0","0","2","0.2","Leader","3","0.02","2","0.08"
"Active member","33","2.12","38","4.05","Active member","95","6.51","110","7.13","Active member","69","5.05","49","1.93","Active member","197","5.56","197","4.84"
"Inactive member","8","0.79","25","2.95","Inactive member","136","9.87","117","9.42","Inactive member","41","7.43","53","9.85","Inactive member","185","8.11","195","8.96"
"Not a member","1067","96.86","967","93","Not a member","968","83.61","946","83.45","Not a member","991","87.52","915","88.02","Not a member","3026","86.31","2828","86.12"
"","","","","","","","","","","","","","","","","","","",""
"F1g. Other Professional or Trade association","","","","","F1g. Other Professional or Trade association","","","","","F1g. Other Professional or Trade association","","","","","F1g. Other Professional or Trade association","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","2","0.2","1","0.1","Leader","2","0.03","1","0.01","Leader","1","0.26","2","0.1","Leader","5","0.13","4","0.05"
"Active member","24","1.3","23","1.88","Active member","75","6.42","71","5.17","Active member","63","2.97","62","2.18","Active member","162","4.68","156","3.71"
"Inactive member","22","1.9","30","3.76","Inactive member","134","8.02","106","6.52","Inactive member","43","8.04","51","9.6","Inactive member","199","7.42","187","7.43"
"Not a member","1063","96.6","976","94.26","Not a member","988","85.53","995","88.3","Not a member","994","88.73","904","88.12","Not a member","3045","87.76","2875","88.8"
"","","","","","","","","","","","","","","","","","","",""
"F1h. Humanitarian or charitable organization","","","","","F1h. Humanitarian or charitable organization","","","","","F1h. Humanitarian or charitable organization","","","","","F1h. Humanitarian or charitable organization","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","2","0.2","1","0.03","Leader","0","0","3","0.15","Leader","0","0","2","0.1","Leader","2","0.02","6","0.12"
"Active member","30","2.33","25","2.31","Active member","87","8.04","84","6.73","Active member","68","3.42","49","3.24","Active member","185","5.83","158","4.97"
"Inactive member","16","1.13","27","3.1","Inactive member","150","8.2","139","10.12","Inactive member","40","7.91","48","7.79","Inactive member","206","7.4","214","8.55"
"Not a member","1063","96.33","977","94.55","Not a member","962","83.75","947","83","Not a member","993","88.68","920","88.87","Not a member","3018","86.75","2844","86.36"
"","","","","","","","","","","","","","","","","","","",""
"F1i. Self-help or mutual aid group, this can include women’s groups and credit or microfinance groups","","","","","F1i. Self-help or mutual aid group, this can include women’s groups and credit or microfinance groups","","","","","F1i. Self-help or mutual aid group, this can include women’s groups and credit or microfinance groups","","","","","F1i. Self-help or mutual aid group, this can include women’s groups and credit or microfinance groups","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","23","1.82","2","0.07","Leader","1","0.02","3","0.13","Leader","10","0.04","4","0.11","Leader","34","0.2","9","0.12"
"Active member","395","39.15","170","19.06","Active member","188","11.79","119","7.06","Active member","187","6.15","48","4.12","Active member","770","12.47","337","7.08"
"Inactive member","58","3.85","32","2.96","Inactive member","109","7.71","99","8.32","Inactive member","77","8.1","84","9.84","Inactive member","244","7.47","215","8.39"
"Not a member","635","55.18","826","77.91","Not a member","901","80.49","952","84.49","Not a member","827","85.71","883","85.93","Not a member","2363","79.86","2661","84.41"
"","","","","","","","","","","","","","","","","","","",""
"F1j. Other organization","","","","","F1j. Other organization","","","","","F1j. Other organization","","","","","F1j. Other organization","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Leader","4","0.11","1","0.03","Leader","0","0","3","0.28","Leader","0","0","1","0.05","Leader","4","0.01","5","0.17"
"Active member","10","0.41","9","0.34","Active member","55","5.2","44","3.74","Active member","43","1.84","38","1.98","Active member","108","3.53","91","2.74"
"Inactive member","9","0.69","20","2.49","Inactive member","116","7.1","96","6.53","Inactive member","31","6.63","32","5.54","Inactive member","156","6.3","148","5.76"
"Not a member","1088","98.78","1000","97.14","Not a member","1028","87.7","1030","89.44","Not a member","1027","91.52","948","92.43","Not a member","3143","90.15","2978","91.33"
"","","","","","","","","","","","","","","","","","","",""
"F2. How sure are you that you could express your opinion at a community meeting?","","","","","F2. How sure are you that you could express your opinion at a community meeting?","","","","","F2. How sure are you that you could express your opinion at a community meeting?","","","","","F2. How sure are you that you could express your opinion at a community meeting?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Not at all sure","242","19.61","132","12.6","Not at all sure","267","23.61","210","17.87","Not at all sure","303","32.97","214","32.43","Not at all sure","812","26.55","556","22.94"
"Somewhat unsure","163","16.06","164","17.87","Somewhat unsure","177","15.52","183","18.1","Somewhat unsure","174","21.86","143","18.86","Somewhat unsure","514","17.83","490","18.37"
"Neither sure/Unsure","126","12.95","126","14.64","Neither sure/Unsure","127","13.4","96","9.41","Neither sure/Unsure","102","15.67","92","9.31","Neither sure/Unsure","355","14.17","314","9.88"
"Somewhat sure","305","24.74","350","31.67","Somewhat sure","237","18.83","245","21.28","Somewhat sure","386","20.78","357","28.02","Somewhat sure","928","20.1","952","24.86"
"Completely sure","275","26.64","258","23.22","Completely sure","391","28.64","439","33.33","Completely sure","136","8.73","213","11.37","Completely sure","802","21.34","910","23.95"
"","","","","","","","","","","","","","","","","","","",""
"F3. How sure are you that you could express your opinion at a community meeting if some people did not agree with that opinion?","","","","","F3. How sure are you that you could express your opinion at a community meeting if some people did not agree with that opinion?","","","","","F3. How sure are you that you could express your opinion at a community meeting if some people did not agree with that opinion?","","","","","F3. How sure are you that you could express your opinion at a community meeting if some people did not agree with that opinion?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Not at all sure","236","18.67","132","12.55","Not at all sure","270","23.18","195","16.54","Not at all sure","299","32.08","219","31.91","Not at all sure","805","25.91","546","22.05"
"Somewhat unsure","135","13.16","156","17.64","Somewhat unsure","195","18.22","198","17.82","Somewhat unsure","198","21.98","138","15.76","Somewhat unsure","528","19.06","492","17.01"
"Neither sure/Unsure","154","14.92","135","14.31","Neither sure/Unsure","150","15.45","153","15.26","Neither sure/Unsure","141","17.7","126","14.3","Neither sure/Unsure","445","16.2","414","14.8"
"Somewhat sure","333","28.1","352","33.19","Somewhat sure","235","18.54","239","21.6","Somewhat sure","345","19.2","339","27.87","Somewhat sure","913","19.71","930","25.12"
"Completely sure","253","25.15","255","22.31","Completely sure","349","24.61","388","28.77","Completely sure","118","9.04","197","10.17","Completely sure","720","19.11","840","21.02"
"","","","","","","","","","","","","","","","","","","",""
"F4. Do you have the freedom to express your opinion in a community meeting in the presence of your husband?","","","","","F4. Do you have the freedom to express your opinion in a community meeting in the presence of your husband?","","","","","F4. Do you have the freedom to express your opinion in a community meeting in the presence of your husband?","","","","","F4. Do you have the freedom to express your opinion in a community meeting in the presence of your husband?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","627","67.28","2","100","Yes","515","55.52","2","100","Yes","528","49.87","7","80.03","Yes","1670","54.76","11","85.19"
"No","329","32.72","0","0","No","451","44.48","0","0","No","336","50.13","3","19.97","No","1116","45.24","3","14.81"
"","","","","","","","","","","","","","","","","","","",""
"F5. Do you have the freedom to express your opinion in a community meeting in the absence of your husband?","","","","","F5. Do you have the freedom to express your opinion in a community meeting in the absence of your husband?","","","","","F5. Do you have the freedom to express your opinion in a community meeting in the absence of your husband?","","","","","F5. Do you have the freedom to express your opinion in a community meeting in the absence of your husband?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","599","60.11","2","100","Yes","463","52.22","2","100","Yes","467","41.42","7","80.03","Yes","1529","49.23","11","85.19"
"No","357","39.89","0","0","No","503","47.78","0","0","No","397","58.58","3","19.97","No","1257","50.77","3","14.81"
"","","","","","","","","","","","","","","","","","","",""
"F6. To what extent do you think that people like you can change things in their community if they wanted to go through these groups?","","","","","F6. To what extent do you think that people like you can change things in their community if they wanted to go through these groups?","","","","","F6. To what extent do you think that people like you can change things in their community if they wanted to go through these groups?","","","","","F6. To what extent do you think that people like you can change things in their community if they wanted to go through these groups?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Not at all","293","28.06","179","17.7","Not at all","281","23.6","238","22.24","Not at all","305","37.68","249","36.57","Not at all","879","29.06","666","27.3"
"With great difficulty","208","19.59","174","17.31","With great difficulty","222","19.6","229","18.09","With great difficulty","245","23.73","196","15.81","With great difficulty","675","21.07","599","17.14"
"With some difficulty","341","28.54","383","35.21","With some difficulty","375","27.6","375","32.39","With some difficulty","271","18.84","226","19.34","With some difficulty","987","24.57","984","27.66"
"Fairly easily","207","18.89","233","22.82","Fairly easily","212","18.46","202","14.17","Fairly easily","206","15.45","234","20.21","Fairly easily","625","17.43","669","17.32"
"Very easily","62","4.92","61","6.96","Very easily","109","10.74","129","13.11","Very easily","74","4.3","114","8.07","Very easily","245","7.87","304","10.59"
"","","","","","","","","","","","","","","","","","","",""
"F7. In my community, most people believe that men make better political leaders than women do","","","","","F7. In my community, most people believe that men make better political leaders than women do","","","","","F7. In my community, most people believe that men make better political leaders than women do","","","","","F7. In my community, most people believe that men make better political leaders than women do","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Strongly disagree","250","25.97","231","24.73","Strongly disagree","278","16.5","256","15.12","Strongly disagree","335","27.1","272","23.88","Strongly disagree","863","21.21","759","19.4"
"Disagree","184","15.03","166","16.41","Disagree","347","32.06","365","34.54","Disagree","420","40.39","396","41.93","Disagree","951","33.36","927","35.63"
"Agree","400","35.86","364","38.68","Agree","355","30.66","354","33.31","Agree","233","22.08","238","25.8","Agree","988","28.11","956","30.95"
"Strongly agree","226","19.14","247","18.56","Strongly agree","159","13.8","156","13.69","Strongly agree","83","6.45","92","6.93","Strongly agree","468","11.71","495","11.57"
"Don’t Know","51","3.99","22","1.63","Don’t Know","60","6.98","42","3.34","Don’t Know","30","3.99","21","1.47","Don’t Know","141","5.62","85","2.46"
"","","","","","","","","","","","","","","","","","","",""
"F8. In my community, most people believe that a university education is more important for a boy than for a girl","","","","","F8. In my community, most people believe that a university education is more important for a boy than for a girl","","","","","F8. In my community, most people believe that a university education is more important for a boy than for a girl","","","","","F8. In my community, most people believe that a university education is more important for a boy than for a girl","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Strongly disagree","386","34.96","368","29.97","Strongly disagree","341","21.37","345","22.57","Strongly disagree","392","31.64","346","27.34","Strongly disagree","1119","26.37","1059","25.11"
"Disagree","217","20.24","187","20.35","Disagree","395","35.75","439","41.13","Disagree","458","38.21","424","44.45","Disagree","1070","35.1","1050","40.41"
"Agree","320","28.32","307","32.7","Agree","302","26.57","249","23.97","Agree","184","21.03","207","23.7","Agree","806","24.77","763","24.7"
"Strongly agree","163","13.81","158","15.96","Strongly agree","122","12.79","111","9.94","Strongly agree","45","6.33","37","3.87","Strongly agree","330","10.58","306","8.19"
"Don’t Know","25","2.67","10","1.02","Don’t Know","39","3.53","29","2.39","Don’t Know","22","2.78","5","0.63","Don’t Know","86","3.18","44","1.59"
"","","","","","","","","","","","","","","","","","","",""
"F9. In my community, most people believe that men make better business executives than women do","","","","","F9. In my community, most people believe that men make better business executives than women do","","","","","F9. In my community, most people believe that men make better business executives than women do","","","","","F9. In my community, most people believe that men make better business executives than women do","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Strongly disagree","227","22.63","204","21.27","Strongly disagree","262","16.94","251","14.58","Strongly disagree","371","30.75","313","28.47","Strongly disagree","860","22.42","768","20.54"
"Disagree","243","21.25","200","19.44","Disagree","379","32.97","401","35.46","Disagree","458","42.55","420","40.94","Disagree","1080","35.23","1021","36.02"
"Agree","394","34.92","376","38.87","Agree","380","33.27","339","31.89","Agree","214","20.21","241","26.59","Agree","988","28.77","956","30.53"
"Strongly agree","214","18.55","238","18.85","Strongly agree","133","13.08","151","15.29","Strongly agree","40","5.21","35","2.68","Strongly agree","387","10.81","424","10.8"
"Don’t Know","33","2.65","12","1.57","Don’t Know","45","3.74","31","2.77","Don’t Know","18","1.29","10","1.33","Don’t Know","96","2.76","53","2.1"
"","","","","","","","","","","","","","","","","","","",""
"F10. In my community, most men would not want to work for a woman","","","","","F10. In my community, most men would not want to work for a woman","","","","","F10. In my community, most men would not want to work for a woman","","","","","F10. In my community, most men would not want to work for a woman","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Strongly disagree","267","27.39","283","23.99","Strongly disagree","251","16.16","244","14.1","Strongly disagree","365","27.48","323","25.4","Strongly disagree","883","21.3","850","19.38"
"Disagree","309","27.38","254","28.14","Disagree","380","32.89","414","40.28","Disagree","418","36.32","389","40.45","Disagree","1107","33.57","1057","39.18"
"Agree","367","31.81","324","30.65","Agree","366","30.57","346","32.17","Agree","256","27.76","253","29.06","Agree","989","29.69","923","30.83"
"Strongly agree","125","10.25","159","16.33","Strongly agree","138","13.06","124","10.29","Strongly agree","46","7.44","44","3.62","Strongly agree","309","10.78","327","8.31"
"Don’t Know","43","3.17","10","0.9","Don’t Know","64","7.32","45","3.16","Don’t Know","16","1.01","10","1.46","Don’t Know","123","4.66","65","2.29"
"","","","","","","","","","","","","","","","","","","",""
"F11. There are women in my community who are interested in running for elected office and political leadership opportunity.","","","","","F11. There are women in my community who are interested in running for elected office and political leadership opportunity.","","","","","F11. There are women in my community who are interested in running for elected office and political leadership opportunity.","","","","","F11. There are women in my community who are interested in running for elected office and political leadership opportunity.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","524","45.87","542","50.57","Yes","535","41.87","551","44.42","Yes","458","30.77","429","34.75","Yes","1517","38.3","1522","41.31"
"No","587","54.13","488","49.43","No","664","58.13","622","55.58","No","643","69.23","590","65.25","No","1894","61.7","1700","58.69"
"","","","","","","","","","","","","","","","","","","",""
"F12a. Respected","","","","","F12a. Respected","","","","","F12a. Respected","","","","","F12a. Respected","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","990","91.45","958","92.29","Yes","1036","83.49","1027","86.8","Yes","999","74.95","922","77.08","Yes","3025","81.23","2907","83.6"
"No","121","8.55","72","7.71","No","163","16.51","146","13.2","No","102","25.05","97","22.92","No","386","18.77","315","16.4"
"","","","","","","","","","","","","","","","","","","",""
"F12b. Treated as role models","","","","","F12b. Treated as role models","","","","","F12b. Treated as role models","","","","","F12b. Treated as role models","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","968","89.48","908","87.05","Yes","992","80.14","974","82.72","Yes","977","74.64","918","79.08","Yes","2937","79.1","2800","81.74"
"No","143","10.52","122","12.95","No","207","19.86","199","17.28","No","124","25.36","101","20.92","No","474","20.9","422","18.26"
"","","","","","","","","","","","","","","","","","","",""
"F12c. Protected","","","","","F12c. Protected","","","","","F12c. Protected","","","","","F12c. Protected","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","981","88.9","937","88.82","Yes","1031","82.26","1030","86.49","Yes","992","76.28","923","78.69","Yes","3004","80.78","2890","83.72"
"No","130","11.1","93","11.18","No","168","17.74","143","13.51","No","109","23.72","96","21.31","No","407","19.22","332","16.28"
"","","","","","","","","","","","","","","","","","","",""
"F12d. Valued","","","","","F12d. Valued","","","","","F12d. Valued","","","","","F12d. Valued","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","925","82.7","866","79.07","Yes","997","79.83","992","82.22","Yes","979","74.11","911","77.22","Yes","2901","78.07","2769","80"
"No","186","17.3","164","20.93","No","202","20.17","181","17.78","No","122","25.89","108","22.78","No","510","21.93","453","20"
"","","","","","","","","","","","","","","","","","","",""
"F12e. Feared","","","","","F12e. Feared","","","","","F12e. Feared","","","","","F12e. Feared","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","353","29.28","320","30.89","Yes","507","33.97","524","34.21","Yes","430","37.69","427","39.65","Yes","1290","34.83","1271","35.97"
"No","758","70.72","710","69.11","No","692","66.03","649","65.79","No","671","62.31","592","60.35","No","2121","65.17","1951","64.03"
"","","","","","","","","","","","","","","","","","","",""
"F12f. Disrespected","","","","","F12f. Disrespected","","","","","F12f. Disrespected","","","","","F12f. Disrespected","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","248","23.43","227","27.52","Yes","365","24.53","387","25.64","Yes","332","30.31","295","28.42","Yes","945","26.49","909","26.89"
"No","863","76.57","803","72.48","No","834","75.47","786","74.36","No","769","69.69","724","71.58","No","2466","73.51","2313","73.11"
"","","","","","","","","","","","","","","","","","","",""
"F12g. More likely to be harassed","","","","","F12g. More likely to be harassed","","","","","F12g. More likely to be harassed","","","","","F12g. More likely to be harassed","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","252","22.34","191","23.85","Yes","375","26.1","433","32.13","Yes","312","30.71","269","25.79","Yes","939","27.37","893","28.91"
"No","859","77.66","839","76.15","No","824","73.9","740","67.87","No","789","69.29","750","74.21","No","2472","72.63","2329","71.09"
"","","","","","","","","","","","","","","","","","","",""
