"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"B4X. Who has the main financial control of this business, including the ability to sign loans, leases and contracts of this Business?","","","","","B4X. Who has the main financial control of this business, including the ability to sign loans, leases and contracts of this Business?","","","","","B4X. Who has the main financial control of this business, including the ability to sign loans, leases and contracts of this Business?","","","","","B4X. Who has the main financial control of this business, including the ability to sign loans, leases and contracts of this Business?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Me, alone","14","78.84","12","38.79","Me, alone","11","38.54","17","18.42","Me, alone","17","92.72","18","72.69","Me, alone","42","58.51","47","36.63"
"Me, through a hired manager/business owner","0","0","0","0","Me, through a hired manager/business owner","2","22.51","1","0.67","Me, through a hired manager/business owner","0","0","2","13.24","Me, through a hired manager/business owner","2","13.82","3","4.54"
"Me, jointly with other family member(s)","3","21.16","10","59.26","Me, jointly with other family member(s)","8","18.1","18","59.11","Me, jointly with other family member(s)","8","7.02","7","13.82","Me, jointly with other family member(s)","19","14.79","35","45.02"
"Other family member(s)","0","0","1","1.95","Other family member(s)","5","19.36","5","11.03","Other family member(s)","0","0","1","0.25","Other family member(s)","5","11.89","7","7.09"
"Non-family members(s)","0","0","0","0","Non-family members(s)","2","1.48","4","8.17","Non-family members(s)","1","0.25","1","0.01","Non-family members(s)","3","0.99","5","5.1"
"Some other Supervisor/Business Owner","0","0","0","0","Some other Supervisor/Business Owner","0","0","0","0","Some other Supervisor/Business Owner","0","0","0","0","Some other Supervisor/Business Owner","0","0","0","0"
"Don’t know","0","0","0","0","Don’t know","0","0","1","2.6","Don’t know","0","0","0","0","Don’t know","0","0","1","1.62"
"","","","","","","","","","","","","","","","","","","",""
"B5. How many women in your community do you think run a business on their own?   Would you say - most, some, few, none?","","","","","B5. How many women in your community do you think run a business on their own?   Would you say - most, some, few, none?","","","","","B5. How many women in your community do you think run a business on their own?   Would you say - most, some, few, none?","","","","","B5. How many women in your community do you think run a business on their own?   Would you say - most, some, few, none?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Most","34","2.47","25","2.46","Most","45","2.84","54","3.64","Most","286","25.44","290","30.7","Most","365","10.87","369","13.9"
"Some","347","34.78","311","34.01","Some","291","23.75","262","20.95","Some","312","32.42","289","28.16","Some","950","27.93","862","24.96"
"Few","286","29.82","264","29.44","Few","241","22.06","247","22.01","Few","366","31.16","318","29.95","Few","893","26.07","829","25.77"
"None","379","28.51","398","31.86","None","589","49.07","584","52.39","None","108","7.75","105","9.44","None","1076","32.31","1087","33.96"
"Don’t know (probe)","65","4.42","32","2.23","Don’t know (probe)","33","2.28","26","1.01","Don’t know (probe)","29","3.23","17","1.75","Don’t know (probe)","127","2.83","75","1.41"
"","","","","","","","","","","","","","","","","","","",""
"B6. How many women in your community do you think run a business that does not involve their husband?","","","","","B6. How many women in your community do you think run a business that does not involve their husband?","","","","","B6. How many women in your community do you think run a business that does not involve their husband?","","","","","B6. How many women in your community do you think run a business that does not involve their husband?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Most","31","1.67","19","1.47","Most","41","2.3","45","3.39","Most","224","16.56","241","21.57","Most","296","7.32","305","10.17"
"Some","252","25.77","252","29.12","Some","225","17.13","209","17.68","Some","310","33.23","274","26.36","Some","787","23.73","735","22.11"
"Few","275","28.12","229","25.61","Few","269","26.24","270","23.5","Few","379","31.24","330","32.32","Few","923","28.21","829","27.09"
"None","460","38.09","493","41.44","None","631","52.42","619","53.73","None","147","14.7","146","17.05","None","1238","37.56","1258","38.5"
"Don’t know (probe)","93","6.35","37","2.36","Don’t know (probe)","33","1.9","30","1.69","Don’t know (probe)","41","4.26","28","2.69","Don’t know (probe)","167","3.18","95","2.14"
"","","","","","","","","","","","","","","","","","","",""
"B7. If a woman leads an Enterprise/Business/Venture, how likely is it that she may be criticized by her family or community? Not likely, somewhat likely, or very likely?","","","","","B7. If a woman leads an Enterprise/Business/Venture, how likely is it that she may be criticized by her family or community? Not likely, somewhat likely, or very likely?","","","","","B7. If a woman leads an Enterprise/Business/Venture, how likely is it that she may be criticized by her family or community? Not likely, somewhat likely, or very likely?","","","","","B7. If a woman leads an Enterprise/Business/Venture, how likely is it that she may be criticized by her family or community? Not likely, somewhat likely, or very likely?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Not Likely","424","38.87","427","38.58","Not Likely","615","50.98","596","52.04","Not Likely","470","31.23","428","31.44","Not Likely","1509","42.75","1451","42.85"
"Somewhat Likely","542","48.04","441","43.49","Somewhat Likely","488","39.76","512","42.17","Somewhat Likely","554","58.54","521","56.64","Somewhat Likely","1584","47.27","1474","47.84"
"Very Likely","145","13.09","162","17.93","Very Likely","96","9.25","65","5.79","Very Likely","77","10.23","70","11.92","Very Likely","318","9.98","297","9.3"
"","","","","","","","","","","","","","","","","","","",""
"B8. Do you know of any institution or organization in your local area that formally or informally provides loans to women?","","","","","B8. Do you know of any institution or organization in your local area that formally or informally provides loans to women?","","","","","B8. Do you know of any institution or organization in your local area that formally or informally provides loans to women?","","","","","B8. Do you know of any institution or organization in your local area that formally or informally provides loans to women?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","839","78.83","821","81.42","Yes","490","33.19","487","32.93","Yes","706","48.29","700","59.04","Yes","2035","43.06","2008","47.59"
"No","272","21.17","209","18.58","No","709","66.81","686","67.07","No","395","51.71","319","40.96","No","1376","56.94","1214","52.41"
"","","","","","","","","","","","","","","","","","","",""
"B9. Have you ever wanted to get a financial loan to start or expand your business?","","","","","B9. Have you ever wanted to get a financial loan to start or expand your business?","","","","","B9. Have you ever wanted to get a financial loan to start or expand your business?","","","","","B9. Have you ever wanted to get a financial loan to start or expand your business?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","380","30.66","382","32.83","Yes","196","10.92","218","15.24","Yes","289","19.45","326","25.01","Yes","865","15.9","926","20.67"
"No","731","69.34","648","67.17","No","1003","89.08","955","84.76","No","812","80.55","693","74.99","No","2546","84.1","2296","79.33"
"","","","","","","","","","","","","","","","","","","",""
"B10.  Have you ever approached any formal or informal source to borrow money to start or expand a business?","","","","","B10.  Have you ever approached any formal or informal source to borrow money to start or expand a business?","","","","","B10.  Have you ever approached any formal or informal source to borrow money to start or expand a business?","","","","","B10.  Have you ever approached any formal or informal source to borrow money to start or expand a business?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"No","160","39","173","43.99","No","81","42.78","90","43.14","No","173","56.13","196","62.6","No","414","47.89","459","52.29"
"Yes, formal source","176","46.02","135","35.48","Yes, formal source","100","47.85","111","47.32","Yes, formal source","95","38.01","104","30.27","Yes, formal source","371","43.21","350","37.61"
"Yes, informal source","44","14.98","74","20.53","Yes, informal source","15","9.37","17","9.54","Yes, informal source","21","5.86","26","7.12","Yes, informal source","80","8.9","117","10.09"
"","","","","","","","","","","","","","","","","","","",""
"B11. Were you successful in acquiring a loan from this source? If you have received more than one loan, please respond for your most recent loan","","","","","B11. Were you successful in acquiring a loan from this source? If you have received more than one loan, please respond for your most recent loan","","","","","B11. Were you successful in acquiring a loan from this source? If you have received more than one loan, please respond for your most recent loan","","","","","B11. Were you successful in acquiring a loan from this source? If you have received more than one loan, please respond for your most recent loan","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","164","75.13","153","67.03","Yes","87","82.72","95","73.76","Yes","93","53.3","105","60.78","Yes","344","70.23","353","67.84"
"No","56","24.87","56","32.97","No","28","17.28","33","26.24","No","23","46.7","25","39.22","No","107","29.77","114","32.16"
"","","","","","","","","","","","","","","","","","","",""
"B12. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Bank","24","12.77","0","0","Bank","42","60.62","0","NaN","Bank","30","56.02","0","NaN","Bank","96","46.81","0","0"
"Spouse/partner","13","10.62","0","0","Spouse/partner","17","21.68","0","NaN","Spouse/partner","8","8.91","0","NaN","Spouse/partner","38","15.36","0","0"
"Other family","2","2.56","0","0","Other family","4","3.8","0","NaN","Other family","7","12.87","0","NaN","Other family","13","5.9","0","0"
"Friends","1","0.21","0","0","Friends","0","0","0","NaN","Friends","1","1.5","0","NaN","Friends","2","0.46","0","0"
"Women’s group / Informal savings club","107","73.56","1","100","Women’s group / Informal savings club","8","5.66","0","NaN","Women’s group / Informal savings club","30","20.7","0","NaN","Women’s group / Informal savings club","145","27.54","1","100"
"Local landowner","1","0.28","0","0","Local landowner","1","0.88","0","NaN","Local landowner","0","0","0","NaN","Local landowner","2","0.49","0","0"
"Co-operative Society","0","0","0","0","Co-operative Society","0","0","0","NaN","Co-operative Society","1","0.01","0","NaN","Co-operative Society","1","0","0","0"
"Other (please specify)","0","0","0","0","Other (please specify)","1","7.35","0","NaN","Other (please specify)","0","0","0","NaN","Other (please specify)","1","3.45","0","0"
"","","","","","","","","","","","","","","","","","","",""
"B12X. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12X. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12X. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12X. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Bank","6","38.37","0","NaN","Bank","7","55.08","0","NaN","Bank","14","99.03","0","NaN","Bank","27","67.3","0","NaN"
"Mother/Father","2","13.96","0","NaN","Mother/Father","3","13.8","0","NaN","Mother/Father","0","0","0","NaN","Mother/Father","5","9.3","0","NaN"
"Other family","0","0","0","NaN","Other family","1","1.89","0","NaN","Other family","0","0","0","NaN","Other family","1","1.03","0","NaN"
"Friends","0","0","0","NaN","Friends","0","0","0","NaN","Friends","0","0","0","NaN","Friends","0","0","0","NaN"
"Women’s group","8","47.67","0","NaN","Women’s group","3","29.23","0","NaN","Women’s group","1","0.49","0","NaN","Women’s group","12","22.21","0","NaN"
"Informal savings club","0","0","0","NaN","Informal savings club","0","0","0","NaN","Informal savings club","1","0.49","0","NaN","Informal savings club","1","0.16","0","NaN"
"Other (please specify)","0","0","0","NaN","Other (please specify)","0","0","0","NaN","Other (please specify)","0","0","0","NaN","Other (please specify)","0","0","0","NaN"
"","","","","","","","","","","","","","","","","","","",""
"B12M. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12M. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12M. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12M. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Bank","0","NaN","50","39.28","Bank","0","NaN","56","64.26","Bank","1","100","72","85.27","Bank","1","100","178","66.34"
"Spouse/partner","0","NaN","40","22.38","Spouse/partner","0","NaN","18","23.68","Spouse/partner","0","0","9","7.02","Spouse/partner","0","0","67","18.24"
"Other family","0","NaN","20","22.59","Other family","0","NaN","4","4.95","Other family","0","0","8","7.49","Other family","0","0","32","8.91"
"Friends","0","NaN","2","0.54","Friends","0","NaN","2","4.54","Friends","0","0","0","0","Friends","0","0","4","2.4"
"Other (please specify)","0","NaN","17","15.21","Other (please specify)","0","NaN","3","2.58","Other (please specify)","0","0","2","0.22","Other (please specify)","0","0","22","4.11"
"","","","","","","","","","","","","","","","","","","",""
"B12XM. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12XM. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12XM. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","","","B12XM. From whom did you get this loan? If you have received more than one loan, please respond for your most recent loan.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Bank","0","NaN","5","17.15","Bank","0","NaN","10","78.16","Bank","0","NaN","8","65.94","Bank","0","NaN","23","63.26"
"Mother/Father","0","NaN","3","27.87","Mother/Father","0","NaN","2","21.84","Mother/Father","0","NaN","1","28.65","Mother/Father","0","NaN","6","25.69"
"Other family","0","NaN","13","36.52","Other family","0","NaN","0","0","Other family","0","NaN","3","5.37","Other family","0","NaN","16","8.09"
"Friends","0","NaN","1","13.93","Friends","0","NaN","0","0","Friends","0","NaN","1","0.02","Friends","0","NaN","2","2.22"
"Other (please specify)","0","NaN","2","4.53","Other (please specify)","0","NaN","0","0","Other (please specify)","0","NaN","1","0.02","Other (please specify)","0","NaN","3","0.73"
"","","","","","","","","","","","","","","","","","","",""
"B14. Now I will ask you how much you agree or disagree with each of the following statements:  a. If I ever needed it, I could easily borrow money from a formal source (e.g. a bank) on my own. Strongly disagree, disagree, agree, or strongly agree?","","","","","B14. Now I will ask you how much you agree or disagree with each of the following statements:  a. If I ever needed it, I could easily borrow money from a formal source (e.g. a bank) on my own. Strongly disagree, disagree, agree, or strongly agree?","","","","","B14. Now I will ask you how much you agree or disagree with each of the following statements:  a. If I ever needed it, I could easily borrow money from a formal source (e.g. a bank) on my own. Strongly disagree, disagree, agree, or strongly agree?","","","","","B14. Now I will ask you how much you agree or disagree with each of the following statements:  a. If I ever needed it, I could easily borrow money from a formal source (e.g. a bank) on my own. Strongly disagree, disagree, agree, or strongly agree?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Strongly disagree","147","10.78","133","11.99","Strongly disagree","190","16.98","146","11.92","Strongly disagree","116","10.49","90","12.14","Strongly disagree","453","14.06","369","12.01"
"Disagree","174","14.56","142","12.99","Disagree","470","43.11","428","40.24","Disagree","342","33.69","238","30.13","Disagree","986","36.94","808","33.75"
"Agree","432","40.38","442","48.76","Agree","413","31.86","461","37.44","Agree","497","39.99","553","43.23","Agree","1342","35.6","1456","40.74"
"Strongly agree","336","32.26","293","24.55","Strongly agree","107","6.6","127","8.99","Strongly agree","121","14.62","126","13.04","Strongly agree","564","11.99","546","12.04"
"Don’t Know","22","2.01","20","1.71","Don’t Know","19","1.45","11","1.41","Don’t Know","25","1.2","12","1.44","Don’t Know","66","1.42","43","1.45"
"","","","","","","","","","","","","","","","","","","",""
"b. If I ever needed it, I could easily borrow money from an informal source on my own","","","","","b. If I ever needed it, I could easily borrow money from an informal source on my own","","","","","b. If I ever needed it, I could easily borrow money from an informal source on my own","","","","","b. If I ever needed it, I could easily borrow money from an informal source on my own","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Strongly disagree","147","10.33","115","9.05","Strongly disagree","209","17.22","180","12.52","Strongly disagree","128","14.5","87","13.06","Strongly disagree","484","15.57","382","12.39"
"Disagree","183","15.62","144","13.43","Disagree","457","38.75","417","38.43","Disagree","326","25.69","235","23.74","Disagree","966","31.82","796","30.4"
"Agree","418","40.32","440","47.96","Agree","438","36.76","489","42.58","Agree","505","43.62","555","48.73","Agree","1361","39.56","1484","45.45"
"Strongly agree","344","32.16","312","28.38","Strongly agree","79","6.03","79","5.65","Strongly agree","114","15.09","132","13.4","Strongly agree","537","11.83","523","10.8"
"Don’t Know","19","1.57","19","1.17","Don’t Know","16","1.24","8","0.82","Don’t Know","28","1.09","10","1.08","Don’t Know","63","1.22","37","0.96"
"","","","","","","","","","","","","","","","","","","",""
"c. If I wanted to, my spouse/partner will not have any problem with me borrowing money from a formal source","","","","","c. If I wanted to, my spouse/partner will not have any problem with me borrowing money from a formal source","","","","","c. If I wanted to, my spouse/partner will not have any problem with me borrowing money from a formal source","","","","","c. If I wanted to, my spouse/partner will not have any problem with me borrowing money from a formal source","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Strongly disagree","79","7.77","66","6.81","Strongly disagree","105","9.87","73","6.96","Strongly disagree","98","15.98","65","12.77","Strongly disagree","282","11.82","204","9.25"
"Disagree","191","17.92","134","17.58","Disagree","210","20.21","164","18.13","Disagree","252","24.28","161","23.74","Disagree","653","21.41","459","20.3"
"Agree","321","38.49","281","37.97","Agree","433","49.55","458","55.5","Agree","353","35.96","395","41.55","Agree","1107","43.57","1134","48.16"
"Strongly agree","321","31.39","329","34.74","Strongly agree","192","16.95","173","16.98","Strongly agree","133","21.44","155","19.71","Strongly agree","646","20.07","657","19.89"
"Don’t Know","32","2.81","13","1.77","Don’t Know","18","2.62","15","2.21","Don’t Know","22","2.05","11","1.33","Don’t Know","72","2.44","39","1.81"
"Not applicable","12","1.61","8","1.14","Not applicable","8","0.79","2","0.23","Not applicable","6","0.29","8","0.9","Not applicable","26","0.7","18","0.59"
"","","","","","","","","","","","","","","","","","","",""
"d. If I wanted to, my spouse/partner will not have any problem with me borrowing money from an informal source","","","","","d. If I wanted to, my spouse/partner will not have any problem with me borrowing money from an informal source","","","","","d. If I wanted to, my spouse/partner will not have any problem with me borrowing money from an informal source","","","","","d. If I wanted to, my spouse/partner will not have any problem with me borrowing money from an informal source","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Strongly disagree","75","6.65","69","7.49","Strongly disagree","154","14.36","127","11.63","Strongly disagree","103","17.74","68","12.79","Strongly disagree","332","14.75","264","11.67"
"Disagree","202","18.99","130","16.3","Disagree","226","24.46","198","24.73","Disagree","244","23.13","163","24.96","Disagree","672","23.41","491","23.96"
"Agree","331","39.26","304","41.57","Agree","387","43.39","378","44.34","Agree","358","36.79","389","38.94","Agree","1076","40.62","1071","41.91"
"Strongly agree","312","30.6","305","31.44","Strongly agree","145","11.07","153","15.93","Strongly agree","119","18.5","150","20.49","Strongly agree","576","15.76","608","19.33"
"Don’t Know","22","2.9","15","2.27","Don’t Know","45","5.71","25","2.73","Don’t Know","33","3.29","16","1.63","Don’t Know","100","4.56","56","2.24"
"Not applicable","14","1.6","8","0.92","Not applicable","9","1.01","4","0.64","Not applicable","7","0.55","9","1.18","Not applicable","30","0.91","21","0.88"
