"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Manual - skilled and unskilled","136","39.29","372","58.22","Manual - skilled and unskilled","30","10.98","97","22.69","Manual - skilled and unskilled","72","10.28","146","17.64","Manual - skilled and unskilled","238","15.12","615","24.75"
"Petty trader/shop owner","29","8.07","53","5.78","Petty trader/shop owner","16","12.86","30","8.63","Petty trader/shop owner","25","4.51","68","3.67","Petty trader/shop owner","70","7.96","151","5.78"
"Artisan","3","0.85","21","2.61","Artisan","11","6.28","41","11.08","Artisan","28","14.04","90","17.56","Artisan","42","9.26","152","13.23"
"Businessman","3","0.88","19","1.68","Businessman","10","3.55","25","4.13","Businessman","4","0.67","12","0.79","Businessman","17","1.7","56","2.14"
"Self-employed","13","2.95","27","2.94","Self-employed","27","10.38","71","12.21","Self-employed","27","8.7","50","4.87","Self-employed","67","8.37","148","7.34"
"Others (Specify)","2","0.18","1","0.05","Others (Specify)","6","0.91","4","0.24","Others (Specify)","0","0","0","0","Others (Specify)","8","0.34","5","0.1"
"","","","","","","","","","","","","","","","","","","",""
"C7. On average, how many days do you work per week?","","","","","C7. On average, how many days do you work per week?","","","","","C7. On average, how many days do you work per week?","","","","","C7. On average, how many days do you work per week?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"1","12","1.06","11","0.41","1","0","0","0","0","1","1","0.87","0","0","1","13","0.6","11","0.05"
"2","11","3.69","4","0.41","2","3","2.2","4","0.9","2","0","0","3","0.81","2","14","1.34","11","0.79"
"3","28","10.52","40","7.52","3","7","3.45","15","3.21","3","4","0.91","4","0.26","3","39","3.31","59","2.29"
"4","74","26.33","78","15.82","4","12","4.81","40","9.08","4","14","2.08","13","1.02","4","100","6.85","131","5.92"
"5","46","14.17","144","22.5","5","20","6.93","34","7.2","5","44","10.12","51","9.98","5","110","9.66","229","10.57"
"6","76","22.59","165","26.17","6","56","24.97","137","33.17","6","108","37.44","267","41.26","6","240","30.79","569","36.31"
"7","102","21.63","250","27.16","7","103","57.64","232","46.43","7","226","48.58","394","46.67","7","431","47.45","876","44.06"
"","","","","","","","","","","","","","","","","","","",""
"C8. Do you enjoy your work? Never, some of the time, most of the time, always?","","","","","C8. Do you enjoy your work? Never, some of the time, most of the time, always?","","","","","C8. Do you enjoy your work? Never, some of the time, most of the time, always?","","","","","C8. Do you enjoy your work? Never, some of the time, most of the time, always?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Never","14","4.06","16","2.67","Never","17","8.11","51","14.28","Never","26","11.64","39","8.33","Never","57","9.22","106","9.8"
"Some of the time","121","33.98","256","42.2","Some of the time","88","30.99","214","42.8","Some of the time","147","30.94","244","32.63","Some of the time","356","31.44","714","37.63"
"Most of the time","134","41.69","236","35.7","Most of the time","38","29.6","82","20.95","Most of the time","119","35.61","245","30.29","Most of the time","291","34.49","563","27.53"
"Always","80","20.27","184","19.42","Always","58","31.31","115","21.98","Always","105","21.81","204","28.76","Always","243","24.85","503","25.04"
"","","","","","","","","","","","","","","","","","","",""
"C9. Are you satisfied with the number of hours you spend working each week, on average?","","","","","C9. Are you satisfied with the number of hours you spend working each week, on average?","","","","","C9. Are you satisfied with the number of hours you spend working each week, on average?","","","","","C9. Are you satisfied with the number of hours you spend working each week, on average?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","276","75.2","552","74.76","Yes","170","84.22","367","80.41","Yes","361","84.32","652","88.71","Yes","807","82.84","1571","83.83"
"No","73","24.8","140","25.24","No","31","15.78","95","19.59","No","36","15.68","80","11.29","No","140","17.16","315","16.17"
"","","","","","","","","","","","","","","","","","","",""
"C10. A flexible work schedule allows you to shift your work hours around to accomplish other tasks such as childcare, household, or other family responsibilities? How flexible is your work schedule: Not flexible at all, somewhat flexible, very flexible?","","","","","C10. A flexible work schedule allows you to shift your work hours around to accomplish other tasks such as childcare, household, or other family responsibilities? How flexible is your work schedule: Not flexible at all, somewhat flexible, very flexible?","","","","","C10. A flexible work schedule allows you to shift your work hours around to accomplish other tasks such as childcare, household, or other family responsibilities? How flexible is your work schedule: Not flexible at all, somewhat flexible, very flexible?","","","","","C10. A flexible work schedule allows you to shift your work hours around to accomplish other tasks such as childcare, household, or other family responsibilities? How flexible is your work schedule: Not flexible at all, somewhat flexible, very flexible?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Not at all flexible","123","31.29","218","28.56","Not at all flexible","53","19.1","125","23.37","Not at all flexible","65","21.51","117","19.48","Not at all flexible","241","22.22","460","22.1"
"Somewhat flexible","172","54.88","336","56.23","Somewhat flexible","119","61.92","270","66.37","Somewhat flexible","260","60.35","430","54.53","Somewhat flexible","551","60.03","1036","59.14"
"Very flexible","54","13.83","138","15.21","Very flexible","29","18.98","67","10.26","Very flexible","72","18.14","185","25.98","Very flexible","155","17.75","390","18.76"
"","","","","","","","","","","","","","","","","","","",""
"C11. Do you wish you could work more hours, or fewer hours, or you prefer to work the same number of hours as you work now.","","","","","C11. Do you wish you could work more hours, or fewer hours, or you prefer to work the same number of hours as you work now.","","","","","C11. Do you wish you could work more hours, or fewer hours, or you prefer to work the same number of hours as you work now.","","","","","C11. Do you wish you could work more hours, or fewer hours, or you prefer to work the same number of hours as you work now.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"More hours","196","57.19","419","61.9","More hours","50","20.64","113","20.05","More hours","57","13.52","120","11.65","More hours","303","22.87","652","21.26"
"Fewer hours","87","22.09","134","20.36","Fewer hours","88","42.2","153","34.9","Fewer hours","122","40.61","220","34.26","Fewer hours","297","38.23","507","32.7"
"The same number of hours","66","20.72","139","17.73","The same number of hours","63","37.17","196","45.05","The same number of hours","218","45.87","392","54.1","The same number of hours","347","38.89","727","46.04"
"","","","","","","","","","","","","","","","","","","",""
"C12. Do you work because you feel like you have to, or because you want to work?","","","","","C12. Do you work because you feel like you have to, or because you want to work?","","","","","C12. Do you work because you feel like you have to, or because you want to work?","","","","","C12. Do you work because you feel like you have to, or because you want to work?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Have to","121","28.23","277","37.81","Have to","103","53.04","249","55.62","Have to","116","23.86","248","22.99","Have to","340","34.62","774","37"
"Want to","118","29.74","209","28.39","Want to","69","31.19","101","19.38","Want to","210","49.97","319","42.19","Want to","397","40.3","629","31.95"
"(volunteered response) - both","110","42.03","206","33.8","(volunteered response) - both","29","15.77","112","25","(volunteered response) - both","71","26.17","165","34.82","(volunteered response) - both","210","25.09","483","31.05"
"","","","","","","","","","","","","","","","","","","",""
"C13. Who in your family usually has the final say on whether or not you should work to earn money?","","","","","C13. Who in your family usually has the final say on whether or not you should work to earn money?","","","","","C13. Who in your family usually has the final say on whether or not you should work to earn money?","","","","","C13. Who in your family usually has the final say on whether or not you should work to earn money?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Respondent","237","23.41","541","59.95","Respondent","257","27.99","484","58.09","Respondent","279","28.57","488","56.72","Respondent","773","27.71","1513","57.74"
"Spouse/Partner","459","54.69","168","27.37","Spouse/Partner","500","50.46","275","29.73","Spouse/Partner","424","52.88","194","24.95","Spouse/Partner","1383","51.76","637","27.59"
"Respondent and Spouse/Partner Jointly","143","12.9","95","9.93","Respondent and Spouse/Partner Jointly","131","11.66","67","5.24","Respondent and Spouse/Partner Jointly","106","14.65","72","11.46","Respondent and Spouse/Partner Jointly","380","12.85","234","8.19"
"Elderly in the family","14","0.85","16","1.16","Elderly in the family","28","2.56","40","4.3","Elderly in the family","30","2.78","34","6.01","Elderly in the family","72","2.46","90","4.66"
"Someone Else","1","0.03","4","0.64","Someone Else","5","0.22","9","0.55","Someone Else","1","0.15","3","0.17","Someone Else","7","0.17","16","0.41"
"Other (Please specify____)","0","0","0","0","Other (Please specify____)","0","0","0","0","Other (Please specify____)","0","0","0","0","Other (Please specify____)","0","0","0","0"
"Decision Not Made","102","8.13","7","0.95","Decision Not Made","45","7.1","10","2.08","Decision Not Made","24","0.98","4","0.69","Decision Not Made","171","5.04","21","1.41"
"","","","","","","","","","","","","","","","","","","",""
"C13X. Who in your family usually has the final say on whether or not you should work to earn money?","","","","","C13X. Who in your family usually has the final say on whether or not you should work to earn money?","","","","","C13X. Who in your family usually has the final say on whether or not you should work to earn money?","","","","","C13X. Who in your family usually has the final say on whether or not you should work to earn money?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Respondent","64","44.7","93","42.89","Respondent","80","34.71","118","30.78","Respondent","126","43.54","101","46.92","Respondent","270","38.62","312","37.01"
"Mother","20","9.94","25","11.25","Mother","56","23.07","53","25.28","Mother","29","8.86","33","13.63","Mother","105","16.98","111","20.39"
"Father","30","20.97","51","25.97","Father","38","19.13","65","22.29","Father","28","24.2","35","23.54","Father","96","21.11","151","22.98"
"Respondent and parent(s) jointly","29","18.15","19","14.37","Respondent and parent(s) jointly","36","12.51","34","9.7","Respondent and parent(s) jointly","38","21.3","45","14.9","Respondent and parent(s) jointly","103","16.11","98","11.76"
"Someone Else","1","0.2","0","0","Someone Else","4","1.11","2","2.33","Someone Else","5","0.57","2","0.4","Someone Else","10","0.85","4","1.52"
"Other (Please specify____)","0","0","0","0","Other (Please specify____)","0","0","0","0","Other (Please specify____)","0","0","0","0","Other (Please specify____)","0","0","0","0"
"Decision Not Made","11","6.05","11","5.53","Decision Not Made","20","9.47","17","9.62","Decision Not Made","12","1.54","8","0.6","Decision Not Made","43","6.34","36","6.33"
"","","","","","","","","","","","","","","","","","","",""
"C14. Do you consider your current occupation to be your desired occupation or just a job for the present?","","","","","C14. Do you consider your current occupation to be your desired occupation or just a job for the present?","","","","","C14. Do you consider your current occupation to be your desired occupation or just a job for the present?","","","","","C14. Do you consider your current occupation to be your desired occupation or just a job for the present?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Desired occupation","189","49.83","411","55.07","Desired occupation","161","72.65","309","59.14","Desired occupation","299","63.3","555","67.21","Desired occupation","649","64.4","1275","62.65"
"Job for the present","160","50.17","279","44.85","Job for the present","39","27.31","153","40.86","Job for the present","98","36.7","176","32.79","Job for the present","297","35.59","608","37.34"
"Other (specify)","0","0","2","0.08","Other (specify)","1","0.04","0","0","Other (specify)","0","0","1","0.01","Other (specify)","1","0.01","3","0.01"
"","","","","","","","","","","","","","","","","","","",""
"C15. What is your desired occupation? That is, what kind of work you want to do?","","","","","C15. What is your desired occupation? That is, what kind of work you want to do?","","","","","C15. What is your desired occupation? That is, what kind of work you want to do?","","","","","C15. What is your desired occupation? That is, what kind of work you want to do?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Professional/technical/managerial","15","7.3","25","6.17","Professional/technical/managerial","5","7.59","11","5.14","Professional/technical/managerial","7","4.26","27","14.81","Professional/technical/managerial","27","5.82","63","9.58"
"Clerical","1","1.61","7","1.21","Clerical","2","3.13","2","2.74","Clerical","9","7.19","19","6.63","Clerical","12","4.87","28","4.22"
"Sales","1","0.17","4","1.3","Sales","3","10.63","9","2.83","Sales","7","8.53","6","8.54","Sales","11","7.23","19","5.11"
"Agriculture","21","16.4","41","18.94","Agriculture","5","5.97","15","5.75","Agriculture","33","35.98","22","17.37","Agriculture","59","23.64","78","12.96"
"Services/household and domestic","27","18.39","7","3.35","Services/household and domestic","9","32.44","2","0.25","Services/household and domestic","10","7.33","7","3.39","Services/household and domestic","46","16.47","16","2.12"
"Manual - skilled and unskilled","63","32.13","138","47.28","Manual - skilled and unskilled","6","5.66","17","9.6","Manual - skilled and unskilled","14","10","37","19.51","Manual - skilled and unskilled","83","13.76","192","19.89"
"Petty trader/shop owner","16","10.97","26","10.8","Petty trader/shop owner","6","16.5","39","34.55","Petty trader/shop owner","5","8.92","13","4.28","Petty trader/shop owner","27","11.39","78","17.44"
"Artisan","1","0.99","11","3.97","Artisan","1","0.5","15","7.44","Artisan","8","13.66","15","14.17","Artisan","10","7.34","41","9.87"
"Businessman","3","2.82","10","3.74","Businessman","1","2.63","9","9.12","Businessman","1","2.36","14","6.89","Businessman","5","2.54","33","7.29"
"Self-employed","12","9.21","12","3.23","Self-employed","3","14.96","33","22.58","Self-employed","6","1.78","20","4.41","Self-employed","21","6.94","65","11.51"
"Others (Specify)","0","0","0","0","Others (Specify)","0","0","0","0","Others (Specify)","0","0","0","0","Others (Specify)","0","0","0","0"
"","","","","","","","","","","","","","","","","","","",""
"C16. What barriers do you feel are blocking you from working in your desired profession? (Not enough education)","","","","","C16. What barriers do you feel are blocking you from working in your desired profession? (Not enough education)","","","","","C16. What barriers do you feel are blocking you from working in your desired profession? (Not enough education)","","","","","C16. What barriers do you feel are blocking you from working in your desired profession? (Not enough education)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","44","24.74","1","100","0","14","43.15","0","NaN","0","50","58.23","0","NaN","0","108","46.78","1","100"
"Not enough education","116","75.26","0","0","Not enough education","27","56.85","0","NaN","Not enough education","50","41.77","0","NaN","Not enough education","193","53.22","0","0"
"","","","","","","","","","","","","","","","","","","",""
"C16. What barriers do you feel are blocking you from working in your desired profession? (Not easy for me to get jobs in desired profession because of my gender)","","","","","C16. What barriers do you feel are blocking you from working in your desired profession? (Not easy for me to get jobs in desired profession because of my gender)","","","","","C16. What barriers do you feel are blocking you from working in your desired profession? (Not easy for me to get jobs in desired profession because of my gender)","","","","","C16. What barriers do you feel are blocking you from working in your desired profession? (Not easy for me to get jobs in desired profession because of my gender)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","121","84.43","0","0","0","33","79.29","0","NaN","0","86","63.2","0","NaN","0","240","72.2","0","0"
"Not easy for me to get jobs in desired profession because of my gender","39","15.57","1","100","Not easy for me to get jobs in desired profession because of my gender","8","20.71","0","NaN","Not easy for me to get jobs in desired profession because of my gender","14","36.8","0","NaN","Not easy for me to get jobs in desired profession because of my gender","61","27.8","1","100"
"","","","","","","","","","","","","","","","","","","",""
"C17. Do you have a leadership position at your current workplace? By leadership, we mean someone who has a supervisory or management role, vision-setting authority, and/or financial decision-making authority.","","","","","C17. Do you have a leadership position at your current workplace? By leadership, we mean someone who has a supervisory or management role, vision-setting authority, and/or financial decision-making authority.","","","","","C17. Do you have a leadership position at your current workplace? By leadership, we mean someone who has a supervisory or management role, vision-setting authority, and/or financial decision-making authority.","","","","","C17. Do you have a leadership position at your current workplace? By leadership, we mean someone who has a supervisory or management role, vision-setting authority, and/or financial decision-making authority.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","184","46.71","366","54.2","Yes","148","65.37","272","52.95","Yes","182","62.82","348","65","Yes","514","61.15","986","59.14"
"No","165","53.29","326","45.8","No","53","34.63","190","47.05","No","215","37.18","384","35","No","433","38.85","900","40.86"
"","","","","","","","","","","","","","","","","","","",""
"C18. Do you feel you could advance your position in your current workplace if you wanted to?","","","","","C18. Do you feel you could advance your position in your current workplace if you wanted to?","","","","","C18. Do you feel you could advance your position in your current workplace if you wanted to?","","","","","C18. Do you feel you could advance your position in your current workplace if you wanted to?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","46","29.92","107","33.83","Yes","20","30.23","53","24.18","Yes","39","24.87","99","31.29","Yes","105","27.61","259","28.62"
"No","119","70.08","219","66.17","No","33","69.77","137","75.82","No","176","75.13","285","68.71","No","328","72.39","641","71.38"
"","","","","","","","","","","","","","","","","","","",""
"C19. Are you satisfied with the wages you receive for your work at your current workplace?","","","","","C19. Are you satisfied with the wages you receive for your work at your current workplace?","","","","","C19. Are you satisfied with the wages you receive for your work at your current workplace?","","","","","C19. Are you satisfied with the wages you receive for your work at your current workplace?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","232","61.68","472","71.03","Yes","153","80.19","301","61.07","Yes","320","81.88","622","87.37","Yes","705","78.1","1395","75.51"
"No","117","38.32","220","28.97","No","48","19.81","161","38.93","No","77","18.12","110","12.63","No","242","21.9","491","24.49"
"","","","","","","","","","","","","","","","","","","",""
"C20. In your current work, did you ever negotiate to raise your current salary, or did you accept the salary that your were offered?","","","","","C20. In your current work, did you ever negotiate to raise your current salary, or did you accept the salary that your were offered?","","","","","C20. In your current work, did you ever negotiate to raise your current salary, or did you accept the salary that your were offered?","","","","","C20. In your current work, did you ever negotiate to raise your current salary, or did you accept the salary that your were offered?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Negotiated salary","203","52.65","437","58.57","Negotiated salary","133","54.74","280","59.61","Negotiated salary","189","53.2","345","46.63","Negotiated salary","525","53.65","1062","52.99"
"Accepted offered salary","146","47.35","255","41.43","Accepted offered salary","68","45.26","182","40.39","Accepted offered salary","208","46.8","387","53.37","Accepted offered salary","422","46.35","824","47.01"
"","","","","","","","","","","","","","","","","","","",""
"C21. Of your total household expenses, what proportion is met through your own earnings?","","","","","C21. Of your total household expenses, what proportion is met through your own earnings?","","","","","C21. Of your total household expenses, what proportion is met through your own earnings?","","","","","C21. Of your total household expenses, what proportion is met through your own earnings?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Everything","63","13.33","207","29.98","Everything","36","12.95","153","30.6","Everything","83","25.15","230","33.45","Everything","182","19.07","590","31.94"
"75-99%","34","11.79","158","19.64","75-99%","53","28.89","105","27.3","75-99%","65","21.25","212","27.24","75-99%","152","22.39","475","26.28"
"50-74%","78","26.23","187","31.93","50-74%","48","27.82","117","20.95","50-74%","132","31.91","199","29.38","50-74%","258","29.6","503","26.58"
"25-49%","75","23.15","76","12.23","25-49%","40","16.88","55","12.72","25-49%","92","12.95","81","8.01","25-49%","207","15.92","212","10.3"
"1-24%","75","23.63","27","3.72","1-24%","15","7.41","18","4.36","1-24%","15","2.26","7","1.67","1-24%","105","7.41","52","2.93"
"Nothing","24","1.88","37","2.51","Nothing","9","6.04","14","4.07","Nothing","10","6.49","3","0.25","Nothing","43","5.61","54","1.96"
"","","","","","","","","","","","","","","","","","","",""
"C22. To what extent do you feel you can make your own personal decisions regarding the use of income generated from your own (singular) wage or salary employment if you want(ed) to?","","","","","C22. To what extent do you feel you can make your own personal decisions regarding the use of income generated from your own (singular) wage or salary employment if you want(ed) to?","","","","","C22. To what extent do you feel you can make your own personal decisions regarding the use of income generated from your own (singular) wage or salary employment if you want(ed) to?","","","","","C22. To what extent do you feel you can make your own personal decisions regarding the use of income generated from your own (singular) wage or salary employment if you want(ed) to?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Not at all","44","9.16","75","9.79","Not at all","41","22.19","81","13.44","Not at all","55","20.26","79","16.05","Not at all","140","19.17","235","14.27"
"Small extent","177","58.57","287","52.53","Small extent","116","53.71","206","42.75","Small extent","150","31.3","205","29.97","Small extent","443","43.34","698","37.63"
"Medium extent","60","16.17","95","15.64","Medium extent","21","11.06","56","13.97","Medium extent","78","25.16","168","29.04","Medium extent","159","18.87","319","21.72"
"To a high extent","68","16.1","235","22.05","To a high extent","23","13.04","119","29.84","To a high extent","114","23.28","280","24.94","To a high extent","205","18.61","634","26.38"
"","","","","","","","","","","","","","","","","","","",""
