"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Almost never","411","43.48","0","0","Almost never","696","60.76","2","100","Almost never","700","61.5","10","87.16","Almost never","1807","59.32","12","89.38"
"Not frequently","125","11.37","1","56.88","Not frequently","195","16.51","0","0","Not frequently","110","13.29","0","0","Not frequently","430","14.85","1","0.57"
"Somewhat frequently","272","25.58","0","0","Somewhat frequently","153","11.97","0","0","Somewhat frequently","175","11.23","1","9.36","Somewhat frequently","600","13.04","1","7.01"
"Quite frequently","107","7.76","0","0","Quite frequently","92","6.49","0","0","Quite frequently","88","10.36","0","0","Quite frequently","287","7.99","0","0"
"Very frequently","171","10.28","1","43.12","Very frequently","52","3.36","0","0","Very frequently","20","2.42","0","0","Very frequently","243","3.71","1","0.43"
"Refused to answer","25","1.54","0","0","Refused to answer","11","0.92","0","0","Refused to answer","8","1.2","1","3.48","Refused to answer","44","1.08","1","2.6"
"","","","","","","","","","","","","","","","","","","",""
"G3. How often in the past year were you spoken to/touched/grabbed/pinched in a sexual way when you were in a public space (for example to the market or to work or school)? READ if needed","","","","","G3. How often in the past year were you spoken to/touched/grabbed/pinched in a sexual way when you were in a public space (for example to the market or to work or school)? READ if needed","","","","","G3. How often in the past year were you spoken to/touched/grabbed/pinched in a sexual way when you were in a public space (for example to the market or to work or school)? READ if needed","","","","","G3. How often in the past year were you spoken to/touched/grabbed/pinched in a sexual way when you were in a public space (for example to the market or to work or school)? READ if needed","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Almost never","504","48.67","0","0","Almost never","695","61.63","2","100","Almost never","762","62.34","10","87.16","Almost never","1961","60.61","12","89.38"
"Not frequently","152","12.92","1","56.88","Not frequently","135","9.75","0","0","Not frequently","83","11.05","0","0","Not frequently","370","10.53","1","0.57"
"Somewhat frequently","197","20.57","0","0","Somewhat frequently","126","9.35","0","0","Somewhat frequently","134","11.18","1","9.36","Somewhat frequently","457","11.11","1","7.01"
"Quite frequently","111","9.66","0","0","Quite frequently","140","10.85","0","0","Quite frequently","88","11.49","0","0","Quite frequently","339","10.96","0","0"
"Very frequently","132","7.07","1","43.12","Very frequently","65","5.2","0","0","Very frequently","20","2.99","0","0","Very frequently","217","4.6","1","0.43"
"Refused to answer","15","1.11","0","0","Refused to answer","38","3.21","0","0","Refused to answer","14","0.95","1","3.48","Refused to answer","67","2.2","1","2.6"
"","","","","","","","","","","","","","","","","","","",""
"G4. Do you feel safe walking around your neighborhood alone after dark?","","","","","G4. Do you feel safe walking around your neighborhood alone after dark?","","","","","G4. Do you feel safe walking around your neighborhood alone after dark?","","","","","G4. Do you feel safe walking around your neighborhood alone after dark?","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","858","73.92","811","77.27","Yes","809","61.76","858","70.02","Yes","834","74.34","834","78.68","Yes","2501","67.44","2503","74.04"
"No","253","26.08","219","22.73","No","390","38.24","315","29.98","No","267","25.66","185","21.32","No","910","32.56","719","25.96"
"","","","","","","","","","","","","","","","","","","",""
"G5a. The market in order to buy goods","","","","","G5a. The market in order to buy goods","","","","","G5a. The market in order to buy goods","","","","","G5a. The market in order to buy goods","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","862","81.31","1","56.88","Yes","911","72.17","2","100","Yes","908","81.37","12","100","Yes","2681","76.35","15","99.57"
"No","249","18.69","1","43.12","No","288","27.83","0","0","No","193","18.63","0","0","No","730","23.65","1","0.43"
"","","","","","","","","","","","","","","","","","","",""
"G5b. The market in order to sell goods","","","","","G5b. The market in order to sell goods","","","","","G5b. The market in order to sell goods","","","","","G5b. The market in order to sell goods","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","596","55.33","2","100","Yes","640","46.43","1","2.26","Yes","649","59.51","7","70.99","Yes","1885","51.97","10","54.73"
"No","515","44.67","0","0","No","559","53.57","1","97.74","No","452","40.49","5","29.01","No","1526","48.03","6","45.27"
"","","","","","","","","","","","","","","","","","","",""
"G5c. A neighbor’s home","","","","","G5c. A neighbor’s home","","","","","G5c. A neighbor’s home","","","","","G5c. A neighbor’s home","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","878","83","1","56.88","Yes","901","75.06","2","100","Yes","974","84.97","11","99.53","Yes","2753","79.37","14","99.22"
"No","233","17","1","43.12","No","298","24.94","0","0","No","127","15.03","1","0.47","No","658","20.63","2","0.78"
"","","","","","","","","","","","","","","","","","","",""
"G5d. Another village or neighborhood","","","","","G5d. Another village or neighborhood","","","","","G5d. Another village or neighborhood","","","","","G5d. Another village or neighborhood","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","739","69.57","1","56.88","Yes","790","63.76","2","100","Yes","830","72.47","12","100","Yes","2359","67.43","15","99.57"
"No","372","30.43","1","43.12","No","409","36.24","0","0","No","271","27.53","0","0","No","1052","32.57","1","0.43"
"","","","","","","","","","","","","","","","","","","",""
"G5e. A bank or other formal financial institution","","","","","G5e. A bank or other formal financial institution","","","","","G5e. A bank or other formal financial institution","","","","","G5e. A bank or other formal financial institution","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","809","76.71","1","56.88","Yes","848","68.63","2","100","Yes","776","72.31","10","99.07","Yes","2433","70.74","13","98.87"
"No","302","23.29","1","43.12","No","351","31.37","0","0","No","325","27.69","2","0.93","No","978","29.26","3","1.13"
"","","","","","","","","","","","","","","","","","","",""
"G5f. A place outside the home where you work for money","","","","","G5f. A place outside the home where you work for money","","","","","G5f. A place outside the home where you work for money","","","","","G5f. A place outside the home where you work for money","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","637","57.68","1","56.88","Yes","659","47.17","2","100","Yes","732","63.32","10","99.07","Yes","2028","53.96","13","98.87"
"No","474","42.32","1","43.12","No","540","52.83","0","0","No","369","36.68","2","0.93","No","1383","46.04","3","1.13"
"","","","","","","","","","","","","","","","","","","",""
"G5g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group.","","","","","G5g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group.","","","","","G5g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group.","","","","","G5g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","707","66.07","1","56.88","Yes","649","47.04","1","2.26","Yes","703","57.74","10","99.07","Yes","2059","52.73","12","75.33"
"No","404","33.93","1","43.12","No","550","52.96","1","97.74","No","398","42.26","2","0.93","No","1352","47.27","4","24.67"
"","","","","","","","","","","","","","","","","","","",""
"G5h. Work or educational/training opportunities that would require you to spend the night away from home","","","","","G5h. Work or educational/training opportunities that would require you to spend the night away from home","","","","","G5h. Work or educational/training opportunities that would require you to spend the night away from home","","","","","G5h. Work or educational/training opportunities that would require you to spend the night away from home","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","556","47.4","2","100","Yes","560","40.69","1","2.26","Yes","587","54.35","10","99.07","Yes","1703","46.23","13","75.76"
"No","555","52.6","0","0","No","639","59.31","1","97.74","No","514","45.65","2","0.93","No","1708","53.77","3","24.24"
"","","","","","","","","","","","","","","","","","","",""
"G5i. A social-gathering place where people might gather to watch or play sports together","","","","","G5i. A social-gathering place where people might gather to watch or play sports together","","","","","G5i. A social-gathering place where people might gather to watch or play sports together","","","","","G5i. A social-gathering place where people might gather to watch or play sports together","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","510","44.39","2","100","Yes","571","40.75","1","2.26","Yes","683","58.86","10","99.07","Yes","1764","47.57","13","75.76"
"No","601","55.61","0","0","No","628","59.25","1","97.74","No","418","41.14","2","0.93","No","1647","52.43","3","24.24"
"","","","","","","","","","","","","","","","","","","",""
"G5j. An entertainment venue (movie theater, playhouse)","","","","","G5j. An entertainment venue (movie theater, playhouse)","","","","","G5j. An entertainment venue (movie theater, playhouse)","","","","","G5j. An entertainment venue (movie theater, playhouse)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","468","40.36","2","100","Yes","491","35.04","1","2.26","Yes","633","55.59","10","99.07","Yes","1592","42.89","13","75.76"
"No","643","59.64","0","0","No","708","64.96","1","97.74","No","468","44.41","2","0.93","No","1819","57.11","3","24.24"
"","","","","","","","","","","","","","","","","","","",""
"G5k. A restaurant or coffee shop","","","","","G5k. A restaurant or coffee shop","","","","","G5k. A restaurant or coffee shop","","","","","G5k. A restaurant or coffee shop","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","541","45.89","2","100","Yes","563","40.89","1","2.26","Yes","631","59.91","10","99.07","Yes","1735","48.16","13","75.76"
"No","570","54.11","0","0","No","636","59.11","1","97.74","No","470","40.09","2","0.93","No","1676","51.84","3","24.24"
"","","","","","","","","","","","","","","","","","","",""
"G5l. A health center or doctor, for yourself or your child","","","","","G5l. A health center or doctor, for yourself or your child","","","","","G5l. A health center or doctor, for yourself or your child","","","","","G5l. A health center or doctor, for yourself or your child","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","830","77.01","1","56.88","Yes","889","72.82","2","100","Yes","889","74.55","11","99.53","Yes","2608","73.85","14","99.22"
"No","281","22.99","1","43.12","No","310","27.18","0","0","No","212","25.45","1","0.47","No","803","26.15","2","0.78"
"","","","","","","","","","","","","","","","","","","",""
"G6a. The market in order to buy goods","","","","","G6a. The market in order to buy goods","","","","","G6a. The market in order to buy goods","","","","","G6a. The market in order to buy goods","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","593","48.25","0","0","Yes","635","48.16","0","0","Yes","473","39.06","0","0","Yes","1701","44.93","0","0"
"No","518","51.75","2","100","No","564","51.84","2","100","No","628","60.94","12","100","No","1710","55.07","16","100"
"","","","","","","","","","","","","","","","","","","",""
"G6b. The market in order to sell goods","","","","","G6b. The market in order to sell goods","","","","","G6b. The market in order to sell goods","","","","","G6b. The market in order to sell goods","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","540","42.83","1","43.12","Yes","581","44.72","0","0","Yes","443","26.45","0","0","Yes","1564","38.02","1","0.43"
"No","571","57.17","1","56.88","No","618","55.28","2","100","No","658","73.55","12","100","No","1847","61.98","15","99.57"
"","","","","","","","","","","","","","","","","","","",""
"G6c. A neighbor’s home","","","","","G6c. A neighbor’s home","","","","","G6c. A neighbor’s home","","","","","G6c. A neighbor’s home","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","442","36.25","0","0","Yes","512","40.73","0","0","Yes","360","34.4","2","0.93","Yes","1314","38.03","2","0.7"
"No","669","63.75","2","100","No","687","59.27","2","100","No","741","65.6","10","99.07","No","2097","61.97","14","99.3"
"","","","","","","","","","","","","","","","","","","",""
"G6d. Another village or neighborhood","","","","","G6d. Another village or neighborhood","","","","","G6d. Another village or neighborhood","","","","","G6d. Another village or neighborhood","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","572","46.32","0","0","Yes","592","47.19","0","0","Yes","528","42.17","4","19.65","Yes","1692","45.32","4","14.72"
"No","539","53.68","2","100","No","607","52.81","2","100","No","573","57.83","8","80.35","No","1719","54.68","12","85.28"
"","","","","","","","","","","","","","","","","","","",""
"G6e. A bank or other formal financial institution","","","","","G6e. A bank or other formal financial institution","","","","","G6e. A bank or other formal financial institution","","","","","G6e. A bank or other formal financial institution","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","626","54.01","0","0","Yes","606","49.87","0","0","Yes","526","39.41","3","19.18","Yes","1758","46.55","3","14.37"
"No","485","45.99","2","100","No","593","50.13","2","100","No","575","60.59","9","80.82","No","1653","53.45","13","85.63"
"","","","","","","","","","","","","","","","","","","",""
"G6f. A place outside the home where you work for money","","","","","G6f. A place outside the home where you work for money","","","","","G6f. A place outside the home where you work for money","","","","","G6f. A place outside the home where you work for money","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","577","46.03","0","0","Yes","567","45.97","0","0","Yes","493","34.88","3","19.18","Yes","1637","42.02","3","14.37"
"No","534","53.97","2","100","No","632","54.03","2","100","No","608","65.12","9","80.82","No","1774","57.98","13","85.63"
"","","","","","","","","","","","","","","","","","","",""
"G6g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group.","","","","","G6g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group.","","","","","G6g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group.","","","","","G6g. A place where group meetings are held. This can, include a savings group, credit group, a cooperative, or another community group.","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","528","44.93","1","43.12","Yes","559","44.52","0","0","Yes","472","31.73","2","9.82","Yes","1559","40","3","7.79"
"No","583","55.07","1","56.88","No","640","55.48","2","100","No","629","68.27","10","90.18","No","1852","60","13","92.21"
"","","","","","","","","","","","","","","","","","","",""
"G6h. Work or educational/training opportunities that would require you to spend the night away from home","","","","","G6h. Work or educational/training opportunities that would require you to spend the night away from home","","","","","G6h. Work or educational/training opportunities that would require you to spend the night away from home","","","","","G6h. Work or educational/training opportunities that would require you to spend the night away from home","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","686","59.23","1","43.12","Yes","565","45.06","0","0","Yes","527","39.44","2","9.82","Yes","1778","44.45","3","7.79"
"No","425","40.77","1","56.88","No","634","54.94","2","100","No","574","60.56","10","90.18","No","1633","55.55","13","92.21"
"","","","","","","","","","","","","","","","","","","",""
"G6i. A social-gathering place where people might gather to watch or play sports together","","","","","G6i. A social-gathering place where people might gather to watch or play sports together","","","","","G6i. A social-gathering place where people might gather to watch or play sports together","","","","","G6i. A social-gathering place where people might gather to watch or play sports together","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","636","54.02","1","43.12","Yes","547","44.56","0","0","Yes","495","31.96","2","0.93","Yes","1678","40.99","3","1.13"
"No","475","45.98","1","56.88","No","652","55.44","2","100","No","606","68.04","10","99.07","No","1733","59.01","13","98.87"
"","","","","","","","","","","","","","","","","","","",""
"G6j. An entertainment venue (movie theater, playhouse)","","","","","G6j. An entertainment venue (movie theater, playhouse)","","","","","G6j. An entertainment venue (movie theater, playhouse)","","","","","G6j. An entertainment venue (movie theater, playhouse)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","633","53.41","1","43.12","Yes","560","46.18","0","0","Yes","505","36.44","6","38.37","Yes","1698","43.42","7","29.18"
"No","478","46.59","1","56.88","No","639","53.82","2","100","No","596","63.56","6","61.63","No","1713","56.58","9","70.82"
"","","","","","","","","","","","","","","","","","","",""
"G6k. A restaurant or coffee shop","","","","","G6k. A restaurant or coffee shop","","","","","G6k. A restaurant or coffee shop","","","","","G6k. A restaurant or coffee shop","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","632","52.06","1","43.12","Yes","567","45.1","0","0","Yes","477","35.31","3","10.29","Yes","1676","42.29","4","8.14"
"No","479","47.94","1","56.88","No","632","54.9","2","100","No","624","64.69","9","89.71","No","1735","57.71","12","91.86"
"","","","","","","","","","","","","","","","","","","",""
"G6l. A health center or doctor, for yourself or your child","","","","","G6l. A health center or doctor, for yourself or your child","","","","","G6l. A health center or doctor, for yourself or your child","","","","","G6l. A health center or doctor, for yourself or your child","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"Yes","537","44.52","0","0","Yes","583","44.5","0","0","Yes","471","38.38","1","0.47","Yes","1591","42.32","1","0.35"
"No","574","55.48","2","100","No","616","55.5","2","100","No","630","61.62","11","99.53","No","1820","57.68","15","99.65"
"","","","","","","","","","","","","","","","","","","",""
"G7a. The market in order to buy goods (Husband)","","","","","G7a. The market in order to buy goods (Husband)","","","","","G7a. The market in order to buy goods (Husband)","","","","","G7a. The market in order to buy goods (Husband)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","56","12.61","0","NaN","0","58","10.04","0","NaN","0","24","12.42","0","NaN","0","138","11.03","0","NaN"
"Husband","459","87.39","0","NaN","Husband","454","89.96","0","NaN","Husband","347","87.58","0","NaN","Husband","1260","88.97","0","NaN"
"","","","","","","","","","","","","","","","","","","",""
"G7a. The market in order to buy goods (Mother-in-law)","","","","","G7a. The market in order to buy goods (Mother-in-law)","","","","","G7a. The market in order to buy goods (Mother-in-law)","","","","","G7a. The market in order to buy goods (Mother-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","414","82.76","0","NaN","0","448","84.34","0","NaN","0","298","87.07","0","NaN","0","1160","84.95","0","NaN"
"Mother-in-law","101","17.24","0","NaN","Mother-in-law","64","15.66","0","NaN","Mother-in-law","73","12.93","0","NaN","Mother-in-law","238","15.05","0","NaN"
"","","","","","","","","","","","","","","","","","","",""
"G7a. The market in order to buy goods (Father-in-law)","","","","","G7a. The market in order to buy goods (Father-in-law)","","","","","G7a. The market in order to buy goods (Father-in-law)","","","","","G7a. The market in order to buy goods (Father-in-law)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","454","88.94","0","NaN","0","479","90.22","0","NaN","0","336","97.51","0","NaN","0","1269","92.19","0","NaN"
"Father-in-law","61","11.06","0","NaN","Father-in-law","33","9.78","0","NaN","Father-in-law","35","2.49","0","NaN","Father-in-law","129","7.81","0","NaN"
"","","","","","","","","","","","","","","","","","","",""
"G7a. The market in order to buy goods (Other family member)","","","","","G7a. The market in order to buy goods (Other family member)","","","","","G7a. The market in order to buy goods (Other family member)","","","","","G7a. The market in order to buy goods (Other family member)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","447","88.96","0","NaN","0","417","81.06","0","NaN","0","317","86.52","0","NaN","0","1181","83.55","0","NaN"
"Other family member","68","11.04","0","NaN","Other family member","95","18.94","0","NaN","Other family member","54","13.48","0","NaN","Other family member","217","16.45","0","NaN"
"","","","","","","","","","","","","","","","","","","",""
"G7a. The market in order to buy goods (Other)","","","","","G7a. The market in order to buy goods (Other)","","","","","G7a. The market in order to buy goods (Other)","","","","","G7a. The market in order to buy goods (Other)","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)","Categories","Female (N)","Female (%)","Male (N)","Male (%)"
"0","494","91.71","0","NaN","0","510","99.97","0","NaN","0","366","99.36","0","NaN","0","1370","98.85","0","NaN"
